ZipCode,State,County,NormalizedCounty,City,NormalizedCity,TaxRegionName,NormalizedTaxRegionName,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate,EstimatedPopulation,Year,Month
95930,CA,"BUTTE COUNTY",butte-county,"CLIPPER MILLS",clipper-mills,"BUTTE COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",butte-county-tourism-business-improvement-district,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95932,CA,"COLUSA COUNTY",colusa-county,COLUSA,colusa,COLUSA,colusa,7.250000,6.000000,0.250000,0.000000,1.000000,6178,2019,8
95934,CA,"PLUMAS COUNTY",plumas-county,"CRESCENT MILLS",crescent-mills,"PLUMAS COUNTY",plumas-county,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95935,CA,"YUBA COUNTY",yuba-county,DOBBINS,dobbins,YUBA,yuba,8.250000,6.000000,0.250000,0.000000,2.000000,565,2019,8
95936,CA,"SIERRA COUNTY",sierra-county,DOWNIEVILLE,downieville,"SIERRA COUNTY",sierra-county,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95937,CA,"YOLO COUNTY",yolo-county,DUNNIGAN,dunnigan,"YOLO COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",yolo-county-tourism-business-improvement-district,7.250000,6.000000,0.250000,0.000000,1.000000,1072,2019,8
95938,CA,"BUTTE COUNTY",butte-county,DURHAM,durham,"BUTTE COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",butte-county-tourism-business-improvement-district,7.250000,6.000000,0.250000,0.000000,1.000000,3566,2019,8
95939,CA,"GLENN COUNTY",glenn-county,"ELK CREEK",elk-creek,"GLENN COUNTY",glenn-county,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95940,CA,"BUTTE COUNTY",butte-county,"FEATHER FALLS",feather-falls,"BUTTE COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",butte-county-tourism-business-improvement-district,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95941,CA,"BUTTE COUNTY",butte-county,FORBESTOWN,forbestown,"BUTTE COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",butte-county-tourism-business-improvement-district,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95942,CA,"BUTTE COUNTY",butte-county,"FOREST RANCH",forest-ranch,"BUTTE COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",butte-county-tourism-business-improvement-district,7.250000,6.000000,0.250000,0.000000,1.000000,1178,2019,8
95943,CA,"GLENN COUNTY",glenn-county,GLENN,glenn,"GLENN COUNTY",glenn-county,7.250000,6.000000,0.250000,0.000000,1.000000,656,2019,8
95944,CA,"SIERRA COUNTY",sierra-county,"GOODYEARS BAR",goodyears-bar,"SIERRA COUNTY",sierra-county,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95945,CA,"NEVADA COUNTY",nevada-county,"GRASS VALLEY",grass-valley,"GRASS VALLEY",grass-valley,8.500000,6.000000,0.250000,1.000000,1.250000,18769,2019,8
95946,CA,"NEVADA COUNTY",nevada-county,"PENN VALLEY",penn-valley,"NEVADA COUNTY",nevada-county,7.500000,6.000000,0.250000,0.000000,1.250000,8356,2019,8
95947,CA,"PLUMAS COUNTY",plumas-county,GREENVILLE,greenville,"PLUMAS COUNTY",plumas-county,7.250000,6.000000,0.250000,0.000000,1.000000,1342,2019,8
95948,CA,"BUTTE COUNTY",butte-county,GRIDLEY,gridley,GRIDLEY,gridley,7.250000,6.000000,0.250000,0.000000,1.000000,8183,2019,8
95949,CA,"NEVADA COUNTY",nevada-county,"GRASS VALLEY",grass-valley,"NEVADA COUNTY",nevada-county,7.500000,6.000000,0.250000,0.000000,1.250000,15758,2019,8
95950,CA,"COLUSA COUNTY",colusa-county,GRIMES,grimes,"COLUSA COUNTY",colusa-county,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95951,CA,"GLENN COUNTY",glenn-county,"HAMILTON CITY",hamilton-city,"GLENN COUNTY",glenn-county,7.250000,6.000000,0.250000,0.000000,1.000000,2398,2019,8
95953,CA,"SUTTER COUNTY",sutter-county,"LIVE OAK",live-oak,"LIVE OAK",live-oak,7.250000,6.000000,0.250000,0.000000,1.000000,7556,2019,8
95954,CA,"BUTTE COUNTY",butte-county,MAGALIA,magalia,"BUTTE COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",butte-county-tourism-business-improvement-district,7.250000,6.000000,0.250000,0.000000,1.000000,8445,2019,8
95955,CA,"COLUSA COUNTY",colusa-county,MAXWELL,maxwell,"COLUSA COUNTY",colusa-county,7.250000,6.000000,0.250000,0.000000,1.000000,1193,2019,8
95956,CA,"PLUMAS COUNTY",plumas-county,"MEADOW VALLEY",meadow-valley,"PLUMAS COUNTY",plumas-county,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95957,CA,"SUTTER COUNTY",sutter-county,MERIDIAN,meridian,"SUTTER CO LOCAL TAX SL",sutter-county-local-tax-sl,7.250000,6.000000,0.250000,0.000000,1.000000,650,2019,8
95958,CA,"BUTTE COUNTY",butte-county,NELSON,nelson,"BUTTE COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",butte-county-tourism-business-improvement-district,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95959,CA,"NEVADA COUNTY",nevada-county,"NEVADA CITY",nevada-city,"NEVADA COUNTY",nevada-county,7.500000,6.000000,0.250000,0.000000,1.250000,14769,2019,8
95960,CA,"NEVADA COUNTY",nevada-county,"NORTH SAN JUAN",north-san-juan,"NEVADA COUNTY",nevada-county,7.500000,6.000000,0.250000,0.000000,1.250000,955,2019,8
95961,CA,"YUBA COUNTY",yuba-county,OLIVEHURST,olivehurst,YUBA,yuba,8.250000,6.000000,0.250000,0.000000,2.000000,16912,2019,8
95962,CA,"YUBA COUNTY",yuba-county,"OREGON HOUSE",oregon-house,YUBA,yuba,8.250000,6.000000,0.250000,0.000000,2.000000,1301,2019,8
95963,CA,"GLENN COUNTY",glenn-county,ORLAND,orland,ORLAND,orland,7.750000,6.000000,0.250000,0.500000,1.000000,11337,2019,8
